name,rating,date_post,title,review
JH312,5,13 March 2023,An absolute beaut.,"It’s small, easy to use, compact, fastens onto any device Bluetooth signal I’ve ever wanted to use it for like a shark and has a very good battery life, range and sound. It doesn’t take long to recharge.My only suggestion might be that it’s buttons are quite difficult to see in low light so I highlighted them.Perfect now.And otherwise a fantastic little unit."
Filipe Ferreira,5,13 March 2023,Top quality for money,Top quality for money
Amazon Customer,5,11 March 2023,Bluetooth speaker,Hi loves it
Maximiliano Barbieri,3,11 March 2023,Good value for the money but no good sound quality,It’s not a JBL or SONY I know but the sound is not clear and if you press the BASS booster the sound quality is worstI’m thinking in sending it back and expend a bit more for a decent one
Amazon Customer,1,8 March 2023,Dangerous!!,Bought this two years ago and was happy until tested when I plugged in to change. The charging wire melted and almost caused a fire.
ThomasMurphy,5,7 March 2023,"Great speaker, easy to set up and great sound.",Great sound. Very easy to connect and it has great sound.
yasin kiyani,5,4 March 2023,Love it,Really great for the size and loud nice crisp output
Yadl,5,1 March 2023,Great little speaker,"Fab sound, light weight and  load enough for me 😄"
Mr. Gentleman,4,26 February 2023,Value for Money,"The sound quality is good based on the price, I love that I can take it with me anywhere I go.ProsIt's compact and lightweighteasy to carry around, perfect for outdoor adventures or just lounging at homean impressive battery lifefull sound can fill a living room or car easilyuser-friendly and connects seamlessly with my phoneConsSounds quality could be better, but cant be expected more based on the price tag.If you're looking for a low cost portable speaker, look no further.."
Andrzej Renc,1,26 February 2023,killed that screeching crap,screeching
Armaan,5,20 February 2023,Shocking how good it is for the price,Amazing quality of sound with little to no downsides. Literally perfect would recommend to everyone especially for the price.
brgrinch,4,6 February 2023,The sound is not bad for the price,"It works. The sound is not bad for the price. Does not easily connect wirelessly to some devices and have to resort to a wired connection. As a simple added comment, althoigh I understand why all the buttons are black, in low light it makes them difficult to see. Alaso the use of the ""M"" button is not explained at all."
Big D,5,2 February 2023,great speaker,"bought this for work, sound us great plenty of volume easy to use, perfect."
Kevin odonnell,5,25 January 2023,Small but loud!,A smashing little speaker. It it small but loud and I like the fact you have an option to turn off bass from top of speaker. It’s compact and solid and the sound is very good and not tinny as some can be. All in all good value for money. 👍👌
Ian Mitchell,4,22 January 2023,Very good,"Sound quality is good, easy to use and connect too, solid build, quick charge, would recommend, perfect for taking into garage, garden etc"
Robert Jones,4,18 January 2023,Great little speaker,Really good little speaker for the money
ian mussell,5,15 January 2023,Excellent sound quality.,"Great speaker.It does everything i need in a portable speaker.Solid build,Long lasting battery,excellent sound output."
Ems,5,15 January 2023,Really great sound for the price,"Did a lot of research before purchasing this speaker. Read all the reviews and I am so pleased that I ordered it. Sound is really good, easy to connect and battery life lasts long. Great for having in smaller spaces which is what I was looking for. Would definitely recommend for the price."
JU,2,11 January 2023,Not happy with this product,"The sound is very poor, more like radio sound with no speakers. The volume not that much too.  Much as there is a button for bass, there is no sound like bass.  The speaker is so tiny and light, not at all what I expected.  Bottom line; delivery was perfect but am not happy with the product, thanks"
Nicola Bull,5,9 January 2023,Christmas Present,Partner was really pleased with this as he had lost his other one in luggage sound battery life etc is all spot on
Accurate Reviews,5,5 January 2023,Very Great!,"This Bluetooth shower speaker is really powerful and well made, I bought it as a present for a friend's birthday! I absolutely recommend it!"
peaches71,4,4 January 2023,Good,Easy to connect to my phone.Volume control with either phone or device itselfNot as loud as I’d like but. Great little speaker
Daniel Brown,5,2 January 2023,Very good,Very good
Kyle,5,27 December 2022,amazing,amazing lad
hi,4,22 December 2022,Not bad for a cheap speaker,"Speaker quality is decent, and better than expected for this price! It is definitely loud enough and battery life is decent as well. If you need a cheap portable speaker this is great."
Tony,3,22 December 2022,Good sound and seems like a robust build.,Very good price and loud enough for my needs.
Jimbob1393,2,15 December 2022,Not the best,"Product is decent quality as in build. Cannot get it to connect to my Alexa despite following instructions which are not that clear and don’t seem to match the process in the Alexa app anyhow. This was the reason I bought this item.Have connected it to my phone Apple phone, but every time I want to use the speaker I have to forget the item in the phone settings and then find it again and it works then. Not idealI would not recommend this, sorry, it doesn’t do what I wanted it for despite selecting this item as it said it did.The sound quality is good when it does work and use it in the bathroom and wanted it as an extension of my Alexa product"
FUNKY MARTYN,4,12 December 2022,Good for less than £18.,"Got this speaker this week.  So giving it a test via Bluetooth from a Fiio M7 player.  Not tried sticking a sd card in direct or aux cable  etc . It's OK for this price.  The battery charge light is a red blinking at the rear and goes out when full.  One thing I must add...mine is usb c  not old micro . Also smooth rear , and not the square passive radiator type  ? .  So yes it won't beat my jbl ones but OK so far."
Dwight B.,5,6 December 2022,Nice bit if kit,Love the size and sounds it generates.
MichaelS,1,6 December 2022,Great but just stopped working suddenly,"I was well pleased with the speaker performance, easy bluetooth connection to my mobile and its battery life.Sadly it just suddenly stopped working properly. :-(Very very slight sound coming from it I I held my ear to it but volume controls did nothing.Returned for refund and ordered another in the hope that it was just a faulty batch.Time will tell."
Saamer Jasem,1,3 December 2022,Stopped working after a month and seller won't provide a refund!!!,"It was great when it worked but suddenly stopped pairing to any devices, rendering it a brick. Reported to seller and Amazon and absolutely nothing has happened! No refund and no replacement!!! AVOID!"
JAMES,5,28 November 2022,Good product and good value.,"Nice looking, good sound and easy setup."
Phil Beynon,5,27 November 2022,Nifty little speaker!,"So far this has far exceeded expectations!I got this for listening to music in the garden, bath, whilst doing DIY around the place as the phone speaker's not that loud.Sound clarity is really good, range is good, not tried it at its maximum volume, but its pretty loud!Its quite heavily built and looks like it should last. The cover on the rear to protect sockets etc is a nice touch."
george,5,20 November 2022,Good cheap speaker,Very good value for money never lets me down
Spike42,3,20 November 2022,Disappointing but ok.,"After reading the 5* reviews I was expecting better sound, bass and stereo.  It works fine and looks good. The instructions were very unhelpful. I still can't work out what the M button does."
SQUIDEX,5,20 November 2022,Great,Fantastic
John Boyett,2,20 November 2022,Quiet,Not loud enough.
Tracy M,5,17 November 2022,Exceeded expectations for the money,The sound quality is incredible! Its a lovely size and great quality item. Love it!
Amazon Customer,2,14 November 2022,Good but 1 speaker sound has muffled,Has speaker since August. But 1 of the little speakers has gone muffled.
Dougie Ross,5,9 November 2022,Don't have DAB radio in the car this speaker & your phone is a good second.,"This is a good second best if you don't have a DAB radio, sometimes its better in poor reception areas. Speaker life's okay & sound quality good. Still to use it on holiday, but pretty sure it'll be good."
Patience Okpiabhele,5,9 November 2022,Awesome!!! I'm enjoying it.,"Good product I must confess, the bass is awesome. I think it's ok for  that amount."
m chilcott,1,8 November 2022,Battery died.,Worked great right up until this morning when it completely died.
BookWorm,5,7 November 2022,Small but powerful speaker,"For the price and size, this is very powerful speaker. I highly recommend it for this value."
Nicky202,5,6 November 2022,Best Bluetooth speaker !!,I have owned few Bluetooth speakers but this one by far surpasses all others!! It’s amazing the sound and bass and fast connectivity. It also lasts long before needing to be charged!
rubin,3,5 November 2022,Battery life is very bad,Good sound quality but battery 🪫 is very bad
gillian philbin,5,5 November 2022,Brilliant speaker,Sounds fantastic and really loud great speaker for the price highly recommended
obi,2,4 November 2022,Not really what I expected,It looks good and sounds okay but only in a small enclosed area. I wanted something that will fill the living room and it came up short.
c j lockwood,5,28 October 2022,Great little unit,Great sound and battery life.
Ceasar K.,4,27 October 2022,Good speaker loud enough,Proper for the price abd battery very good
snowflake,3,26 October 2022,Okish,Well Ibhavexa small problem .It cuts out sometimes.Must be bluetooth.Have contacted supplier but no answer of yet Been 48 hrs.The sound quality is ok. It's not quite so good as other views suggested.It serves a purpose
ali Jalilvand,5,25 October 2022,Very good. Good sound. Happy with it.,Good sound
Joe,5,24 October 2022,Excellent quality,Gone through a load of Bluetooth speakers and can definitely say these are the best I’ve come across. Perfect sound quality and the bass mode is something else! Used it straight out the box without charging and has lasted for over 2 days of 8 hour use. Can’t go wrong for the price of these
Andy W.,2,23 October 2022,Not all round sound,Poor sound quality
tobase,5,22 October 2022,Sounds good!,"Nice ,small,  inexpensive, outside speaker for the garden party"
Amazon Customer,5,21 October 2022,Excellent value for money product.,"For the money, was very pleased with this product. Nicely sits on my laptop, and produces a very pleasant sound when playing music from the laptop."
Eamon,1,15 October 2022,Terrible experience,"But I won't, refund my money and stop scammer  tactics"
Nathan Ward,5,11 October 2022,ace,rules
louise reid,5,8 October 2022,Very good value for money,Great value
Pepper,4,4 October 2022,Really good,Just what i needed for watching broadcasts and films and also for carrying speaker around when visuals aren't important and needing to get ready for work etc. Amazing to have a waterproof one for bathroom. Small but powerful. And it has a strong sound quality. The carry handle is really helpful too.
Stephen O'Sullivan,5,4 October 2022,Really good speaker. Surprising sound quality!,"Really impressed with this, stuck it on to test it, really clear music, surprisingly excellent stereo space (with just the one speaker, there are a few speakers inside it). Decent bass, considering the size of the speaker. Bought it for the shower but will use it a lot more than that, might even end up getting something else for the shower as this is too good and will be used elsewhere - dammit! haha."
R. Puri,5,2 October 2022,It’s a great device,I really like it… the only thing is that the sound level goes too high or too low when you changing from one volume lower or higher. And when you switch it on it’s alway on full volume.
Nicola Keenan,5,2 October 2022,Compact Bluetooth Speaker,Fabulous sound quality
JM,5,1 October 2022,Great little speaker.,"I’ve got a few of these Bluetooth speakers from various manufacturers, and in the main I’m very disappointed with them because they don’t always connect to my devices - they spend ages looking for them, despite being previously linked they fail to work. I think they get confused if you’ve linked them to more than one device.HOWEVER - this little beauty works perfectly and flawlessly every time; I think just having my phone connected to it, and nothing else helps quite a bit. The richness of the sound, and the bass level is superb, perfect for what I want it, playing audio books.A great buy, I’m glad I bought it."
Mikejop,5,30 September 2022,Amazing speaker for its size.,Amazing speaker for its size
penny,5,29 September 2022,Great product,I brought this speaker for my son who really likes it he says it's got great sound quality and he really likes the fact that he can listen to his music at full volume and the speaker doesn't distort the quality of the music
Ian Tarrantula,1,28 September 2022,Dissapointed,When connected via Bluetooth the song freezes and then speeds up to catch up with itself. Tried on 2 different phones with the same results. Gets quite annoying after a while. Battery does last a long time but sadly I am returning due to issue of it freezing
Mrs SM Farish,4,27 September 2022,Great as an additional speaker in the house.,"Works well in the house, not really loud enough for outdoor use but I wanted it to hear the radio when I was in the bathroom, so just what was needed.Battery life could be better and you don't get much warning when it's running out."
max,5,27 September 2022,Great speaker,Great speaker sound really good
Number Six,3,24 September 2022,Mediocre sound box,"Arrived on time and we’ll packed. Connecting is easy. Looks nice So not ugly. Charging is a small usb cable, no battery supply needed. Holds charge for a few days of use. But… it’s very low sound. Feeling like it’s not got the juice to play loud outside.  So if you want volume, I’d not be confident to recommend"
Andrew John Morrow,5,22 September 2022,Ideal for playing music when I am in the shower.,Great for in the garden and the shower. Sound quality good enough for my untrained ears. Great battery life too.
Babatunde Olanrewaju,1,21 September 2022,Not good,"Bad sound quality, Bluetooth doesn’t also work"
James Hooper,4,21 September 2022,It’s class,You must buy worth every penny only annoying thing is when it says battery low
K. M. Kumar,2,21 September 2022,gets bit jumpy when playing through Windows device,"Overall looks good build and quality.But noticed started getting bit jumpy when playing songs through windows device.  Tried to update the Bluetooth driver, re-paired several times but still same issue.When unplugged, the music plays as expected through PC speakers, so definitely problem with device."
L. Kyei,1,20 September 2022,After Six Months It Stops Working,"This speaker was ok, sound was clear and had good base and I really enjoyed it. Until it just stopped connecting to my device and automatically switching itself after 10 secs of being connected. Pretty disappointed I purchased in April 2022 and it stopped working in September 2022."
Emily Astley,5,20 September 2022,Great speaker for price! 🌟 5 stars,Cracking speaker for price. Definitely worth it. Just wish battery life was abit better
jan10,1,20 September 2022,This speaker keeps cutting off 😒,This speaker keeps cutting out mid songs and right throughout the songs tried to contact company but sadly  😔 no reply
Nivern mpofu,5,14 September 2022,Good value for your money,"Really enjoy the product. Good quality sound, great value for your money"
ray buddin,4,13 September 2022,lovely little speaker,speaker just right for listening outside....allthough not much difference to sound when you press 'Bass' button which you dont need anyway. my last bluetooth speaker did have longer battery life but this is adequate enough
nicola,5,11 September 2022,For the price very good sound quality good,For the price this product is very good sound quality is good and the battery life is very good
McB,5,6 September 2022,Great Speaker,"Bought this for my niece who's going off to college - she loves it! Great sound, loud, portable, good battery life but may also be plugged in via USB. Superb value for money"
Lee,3,4 September 2022,customer support didn't reply as I had a faulty cable. But product is good.,Speaker works great. But cables are TERRIBLE quality. Customer service didn't get back to me about a new cable. So only 3 stars here.
Abeer Elkordy,5,3 September 2022,Excellent,It’s excellent highly recommended
Mix0182,2,2 September 2022,Great if you miss the nostalgic way music sounded when you jogged with a discman.,"Other than the fact that it sounds like you're lostening to a scratch CD with the amount of time the music cuts out, granted for less than a second a time but 10 times a song no matter how close my phone is to it its so annoying!Other than that it's not tinny and packs a decent punch great with base mode on. Couldn't for the life of me get it to be found on my alexa app either"
Amazon Customer,2,2 September 2022,If you like you music to keep dropping out every 30 seconds. It's great,Like Bluetooth was years ago .keeps dropping out.
Tina Lewis,5,1 September 2022,Good value sounds great,Perfect for travel and sounds good in my Motorhome
Raymond,3,30 August 2022,Not brilliant,"It's okay if in a house, don't try in a depot with other back ground noise."
Liz,2,29 August 2022,Randomly stopped working,"The speaker itself is really good however, it just randomly stopped working. I’ve attempted the reset function but that doesn’t do anything. I’d like a refund or to be sent a new one - it’s a lot of money considering I haven’t had it long."
Rob Patterson,1,28 August 2022,Audio cuts out,Don't waste your money
Amazon Customer,5,27 August 2022,Finally a speaker I can be happy with,"After trying lots of small speakers to use at home. This speaker popped up and was affordable. It is perfect. It house good sound, the battery lasts well. It also doesn’t play quieter when the battery needs charging…well that hasn’t happened yet because the battery is still going since the first charge.Also, it is a perfect size."
Peter Q. G.,4,24 August 2022,A very good deal,"This is a well made piece of kit that produces a good sound for such a small unit. Seems a bargaing £29.99.One point I should raise though is that it says on the information that the output is 14 watts. In fact it's only 7 watts per speaker, so you'd have to buy a pair to get it to 14.And the bass button isn't much use because all it really does is muffle the sound.If it wasn't for those two points it would be 5's all round.And by the way, why am I being asked to mark for noise. Just what is meant by 'noise'. If you mean clarity of sound then say so."
M.Bain,5,24 August 2022,Saw a review in which Magazine,"Saw a review in which Magazine regarding this speaker, which said for the price it was good value.Thought I would give it a go as was after another speaker anyway.It's not up there with my bose portable speakers but then neither is the price.Soundwise, as mentioned not up there with bose mini, but it's still very good. In fact I would say for pairing with tablet to watch films etc then it would be my preferred choice as not so bassy. Music wise, few tweaks of equaliser on phone or tablet it's still rather good and rather loud as well. Overall I am happy with my purchase"
Nicola Brown,5,24 August 2022,Lovely sound for the price,"Small and portable, great for the beach and garden. It’s not run out on me yet. Such a good price for a little music box! So pleased!"
Lewis,5,22 August 2022,Great quality waterproof speaker.,I bought this to use kayak camping hence the waterproof feature. Worked great and even dunked it a few times in the water. Charge time and sound quality is pretty good for the money!
DGoulston,2,20 August 2022,"Bit jumpy,  not great","When a new song starts is very jumpy and pauses for a second,  also can go bitty in a song.  Tested with other speaker and is fine,  so defo is this product not the device sending the music"
JoyceMiracle,5,19 August 2022,Best loudspeaker I ever bought,I liked the sound quality best
Linda Brown,5,18 August 2022,Great item,Very useful
Lenny E.,5,17 August 2022,Big voice for a little feller,Much louder than I expected and excellent clarity. Really pleased.
Boundary10,5,17 August 2022,great value bluetooth speaker,"This is a very good bluetooth speaker for the money.  The sound is quite powerful and will easily fill a small room, balcony etc.  Very happy with this purchase."
Keith gillett,5,16 August 2022,"Good quality sound, battery life, and Bluetooth range","Nice compact and lightweight speaker but excellent quality sound, easily fill a room and the battery last a long time,Also great bluetooth range,"
Simon86,5,16 August 2022,Fantastic product!,great value for money and puts out some good sound for it!battery life is excellent
mike1988,3,15 August 2022,Sound,"I bought this as a friend I worked with had one and it was amazing. He had his phone connected to his and mine and sound was perfect. Mine however plays loud and clear and battery is perfect. But I can assure you that on atleast every song the sound suddenly cuts out for atleast a second. I thought it was my connection to the Internet so I downloaded some songs and it still did the same, so my only thought is that there is a Bluetooth issue with this item as my phone works perfectly on other speakers. Its a shame really this item gives one hell of a boost to any song. But when you're singing along and next thing you know your belting out a work when there's no sound is abit embarrassing when it happens."
Sam butt,1,15 August 2022,Sound battery and noise,Sound quality was not good battery timing was not good and too much noise level
JOHN BILLINGE,5,14 August 2022,Excellent little speaker,"Does exactly what I bought it for , great sound and battery life - I never normally review but this product has been great and used lots in the garden with the good weather"
Jay-J,3,14 August 2022,Good sound quality but keeps cutting out,Good sound quality and battery life keeps cutting out regularly if only for a second but after a while becomes annoying
Buttons,1,13 August 2022,Rubbish,Rubbish sent loafs of messages to retailer got ignored couldn't report site to a.azon button wouldn't work
Lorna C,5,13 August 2022,"Great speaker, great price","Great for the money, can take any where as small enough and delivered quickly"
Chris,5,10 August 2022,"Nice sound, long battery life, great when paired with another","Really pleased with this speaker, for the price I think its great.Nice clear sound , plenty of volume for when sitting out in the garden; but my favourite feature is that you can pair 2 together and they work as a stereo pair ( I purchased another after being impressed with the first one to do exactly this)When paired, volume cranked up and bass mode on they really do 'belt out the music'Great Fun!!!!"
Ebenezer Kumi,5,10 August 2022,Good choice,Excellent sound
Lord Gago,5,9 August 2022,Very happy with the purchase,"Very nice quality for these size, the sound is good and the battery last enough."
gary t.,5,9 August 2022,Great !!,Awesome. Great sound and quality
Syed Hussain,1,8 August 2022,Horrible,The product did not connect to my phone at all and the noise kept breaking when I used other devices
Dana Fedotova,5,8 August 2022,We are satisfied,For this price it’s good.
Amazon Customer,5,6 August 2022,Great speaker,"Super speaker, sounds like bose, price is fantastic, specially you can play from micro SD card"
Billy Wright,1,5 August 2022,Faulty product,"Not sure if it was bad luck but hopefully these are not all the sameWorked fine for 2 weeks then keeps cutting out and turning itself off. Not ideal butWhen working,.can't lie it is a good speaker."
MR. K.D.HRISTOZOV,5,5 August 2022,Bluetooth signal,Excellent quality of sound but losing Bluetooth signals when you are near to the speaker
j dykes,4,4 August 2022,Good value for money,"Sound quality is very good, noise level is fantastic. The battery life is good too"
Linda,5,4 August 2022,Nice for the price,"I got this speaker so I had sound for my pc in my room. This is perfect, decent sound, decent battery life and definitely value for money"
Kindle Customer,5,2 August 2022,It is good,It is a good quality for that price
Arnie D. Kingston upon Hull,5,1 August 2022,5 star speaker,"My Lenrue  'black ' speaker  was delivered on time ,it was presented in a quality  box simple to use, ready charged  so played straight out of the box, and a excellent review from Which Magazine all for less than £30."
Paynee,5,30 July 2022,Best Buy!,Possibly the best £30 I’ll have spent all year!
Amazon Customer,5,29 July 2022,Very happy indeed,Great value nice compact easy to use
Izzymb,4,26 July 2022,Good speaker,Sound levels good but I only use indoors.
Darren Thomas,5,26 July 2022,Bluetooth speaker,Best decision I ever made so worth it
Shellybell,5,23 July 2022,Fantastic little speaker,"This speak is surprisingly good for it price, sound is crisp and has a very good volume to it. Definitely a good buy"
gary,5,22 July 2022,Happy,Good for the money
Jarek Kluska,4,21 July 2022,Not loud but very good,Not loud but very good
S Talib,4,20 July 2022,Not as loud as I expected,It looks nicePlus quality is goodOnly issue is it’s not as loud.I was used to jblSo had to return it
Feven,5,20 July 2022,Brilliant,It has good sound effect and I like the changing mode
E. T. LYONS-WHITE,5,17 July 2022,Great little speaker,Great little unit
Robin Underwood,5,15 July 2022,"Does what it should, really well",Can now play all the music on my Mac outside using my iPhone remote app
sergio,5,13 July 2022,Really good quality,Long live battery and good quality sound.
chasggg,1,13 July 2022,Don't waste your money.,"I bought this speaker to replace my smaller old one at work which didn't get through the whole day. At first it was great and I thought problem solved, getting through the entire day with 60% or more battery remaining and the sound was good enough......... Fast forward to today, only 2½ months later, and I'm now having to use the old speaker to take over when this rubbish dies on me after only three quarters of my shift.As I said in the heading, don't waste your money."
Reader,1,11 July 2022,Stopped charging after 2 months,After 2 months of use the device stopped charging. There is no charging indicator. I tried different cables to no avail. You get what you pay for.
wisptis.exe,5,11 July 2022,Incredible quality for the price,"It takes some finagling between the speaker's volume settings and your device's volume settings, but if you get it juuust right, you can get some killer bass out of this little thing. I've never submerged it in water, but I'm not shy about touching it with wet hands or keeping it in the steamy bathroom during a shower and it's had no effect on the speakers.My only real complaint is that the ""dead battery"" sound scares the **** out of me if we forget to turn it off before bed. It's SO LOUD!!! However, the joy we get from the lady saying ""BASS MOW"" when you switch the sound to bass mode makes up for that only flaw. It's a meme in our household now.I recommend giving this speaker a try. Sounds great, doesn't feel cheap at all--it's really solid. Looks like it's on sale for £25 right now, too. It's really a steal."
Hazel Cox,5,10 July 2022,Brilliant,Great sound excellent quality
Oconnor,5,9 July 2022,Better than expected,Better than expected
Amazon Customer,5,4 July 2022,Does what it say's on the Tin.,"Took it on the Beach, Camping. BBqs  Typical British summer Rain. Might be a bit extra but sometimes take it in my Back pack while cycling.nothing like load Teckno to let dog walkers know you are coming.Well worth the cost"
Stuart,5,30 June 2022,Very good range very well made,"Great sound sturdy construction, have it connected to amazon fire your music in every room and garden."
Jay,5,30 June 2022,Great little speaker,"Good value for money, sounds great and lasts long. Highly recommend"
Mark R.,5,27 June 2022,Bluetooth speaker,It is simple to use and looks and sounds great
Amazon Customer,5,27 June 2022,Good product,Well made.  Good price for product
Steve Robinson,3,27 June 2022,not bad for the price does the job,sound quality ok bit distorted  battery life good noise level ok
Max crema,1,26 June 2022,Constant Bluetooth stuttering,So disapointed. Battery life is not great and the audio constantly stutters
Gill,5,26 June 2022,"Great speaker, does exactly as it says","Bought this as a replacement when I knocked a friends speaker into a hot tub, friend is really happy as the quality is great"
anvl,5,26 June 2022,Bluetooth speaker,Excellent for the price : good battery length: sounds good too 👍
Mike H,5,21 June 2022,Brilliant Speaker.,"Sound quality brilliant, gave it a 4 because it cant handle the bass on certain tracks. IE Beach Boys- Good Vibrations."
Terry F.,5,21 June 2022,Speaker,Well pleased easy to setup the sound is very good
Mrs Suzanne Macleod,5,21 June 2022,Great product,"Easy to set up and use, good quality"
E. J. Hankin,5,20 June 2022,Great all-rounder and waterproof,"Great little speaker and it comes with an AUX cable for attaching to output device.  And this cable does make a difference to the sound quality compared to Bluetooth, which is also very, very good.  Handy little fabric handle makes for an easy shower speaker - hang it from the sliding door handle. Really pleased as this was to replace my old ANKER speaker (4 years old and died).  It wasn't until I got the new speaker that I realised how bad the sound quality and battery life had become on the old one. No regrets and 1/2 the price I paid for the ANKER"
B. A. Friar,5,16 June 2022,Beefy little unit,"Pleasantly surprised on how solid this was, good sound and great battery life - excellent value for money."
Petre Alexandru,5,15 June 2022,Good for the price,Good product for the price
Steve linham,5,14 June 2022,"Excellent sound, the base is so good you can feel it.",It's fantastic
Amazon Customer,5,14 June 2022,Very good speaker for the price,Overall I found this speaker is very good value. It gives excellent sound for the size and is very easy to operate. I cannot find any down side for the price.
Jodie,5,10 June 2022,Very long lasting battery life,It's good quality for your money and the battery life is brilliant on it and the sound quality is excellent.
Ben,5,8 June 2022,Superb value,Great sound quality and really good battery
Caroline macdonald,1,8 June 2022,Not worth the money,Not loud enough
Michael Wilson,5,8 June 2022,Great product.,Great sound for something so small & compact. Highly recommend for sure.
Amara,5,7 June 2022,Took me by surprise,"After my ritual of letting the speaker run for 3 hours at a mid volume, it sounded amazing, nice clean sound"
Arizona Kid,5,7 June 2022,Great sound.,Hey love these speakers The battery life is superb. The sounds kick and a great little speaker. I am happy
Dorrette M.,5,7 June 2022,Good value,"I bought it to use in my garden, sound quality good it work well for me just what I want"
penny,5,7 June 2022,Easy to fit...,Easy to fit so long as you get the correct size. Good quality
sonia brown,5,4 June 2022,Mini boombox,Absolutely brilliant value for the money.  Fantastic sound quality and at a high level.  Great job.  Will buy again.
GRANNI,5,3 June 2022,Fantastic,This is perfect for us as we are getting ol and hearing is getting worse
Chacha,5,29 May 2022,Best buy ever,I like all about the product. I use it listen to music on my phone
Glyn Seery,4,29 May 2022,Great little speaker,"Great little portable speaker, the only thing I can find fault with is the battery life is no where near 20 hours playback time"
Reza,1,28 May 2022,"bad quality after 20 days does not charge anymore, money burned.","bad quality after 20 days does not charge anymore, money burned."
Baggyyead,5,28 May 2022,Yeah decent,Defo worth the money when on sale for 45... nah
Amazon Customer,5,26 May 2022,Good value for money,Good sound and easy to use.  Would buy again
YG,5,25 May 2022,All you need!,This speaker is the s***! Too good! Bass everything top marks
mr.peter kopyrko,5,25 May 2022,excellent build quality,Excellent speaker for the money paid
Rez,3,24 May 2022,Nothing special,"I mean for the price, if your looking for a loud speaker then this will do. But for an individual like me who has an ear for good, quality sound it just did not sit right. The unit itself was very small and light weight making me think the components/drivers aren't that large. The bass just sounded very artificial.Overall my opinion is, it's just not my cup of tea. I'm going to look at spending a little more for quality speakers, maybe Anker"
Paul,1,24 May 2022,Sound cuts out every few mins... Bluetooth seems to stutter,Sound cuts out every few mins... Bluetooth seems to stutter really annoying. Still have not heard back from the seller regarding a replacement speaker !!!
